WPfet,WNfet,Vm,Id,Gain,NMH,NML,Gm,tpd,tRise,tFall,Fsw,Power,Rout,Cgs
15,15,0.344786,0.00024222,6.42844,0.273,0.246,0.0387682,1.61696E-12,3.88944E-12,3.60117E-12,133500000000,2.57711E-17,15.8751,1.34099E-20
15,14,0.349559,0.000233285,6.42753,0.266,0.253,0.0362218,1.64362E-12,3.89744E-12,3.65798E-12,132355000000,2.50619E-17,6.42753,1.28493E-20
15,13,0.354677,0.000223854,6.42994,0.259,0.261,0.0336747,1.67401E-12,3.90444E-12,3.72089E-12,131142000000,2.43233E-17,13.7203,1.2289E-20
14,15,0.34001,0.000234527,6.43262,0.279,0.239,0.0387293,1.64396E-12,3.94804E-12,3.59918E-12,132499000000,2.51042E-17,17.0267,1.30767E-20
14,14,0.344786,0.000226072,6.42844,0.273,0.246,0.0361836,1.67041E-12,3.95726E-12,3.65789E-12,131317000000,2.44265E-17,15.8751,1.25159E-20
14,13,0.349913,0.000217122,6.42728,0.266,0.254,0.0336372,1.70056E-12,3.96573E-12,3.72278E-12,130064000000,2.37202E-17,14.7217,1.19553E-20
14,12,0.355439,0.000207632,6.43084,0.258,0.262,0.03109,1.73524E-12,3.97301E-12,3.79567E-12,128722000000,2.29834E-17,13.5661,1.1395E-20
13,13,0.344786,0.000209924,6.42844,0.273,0.246,0.0335991,1.7309E-12,4.03552E-12,3.72295E-12,128891000000,2.30893E-17,15.8751,1.16219E-20
13,12,0.350323,0.000200955,6.42733,0.265,0.255,0.0310526,1.76532E-12,4.04448E-12,3.79802E-12,127510000000,2.23869E-17,14.6328,1.10614E-20
13,11,0.356329,0.000191396,6.43172,0.257,0.264,0.0285053,1.80533E-12,4.05204E-12,3.88371E-12,126012000000,2.16521E-17,13.3881,1.05011E-20
12,12,0.344786,0.000193776,6.42844,0.273,0.246,0.0310146,1.79999E-12,4.12693E-12,3.79841E-12,126178000000,2.17612E-17,15.8751,1.07279E-20
12,11,0.350805,0.00018478,6.42768,0.264,0.255,0.0284681,1.83972E-12,4.13628E-12,3.8865E-12,124645000000,2.10632E-17,14.5292,1.01674E-20
12,10,0.35738,0.000175146,6.43295,0.255,0.265,0.0259207,1.8865E-12,4.1441E-12,3.98902E-12,122954000000,2.03312E-17,13.1804,9.60712E-21
11,11,0.344786,0.000177628,6.42844,0.273,0.246,0.02843,1.87978E-12,4.23505E-12,3.88734E-12,123116000000,2.04435E-17,6.42844,9.83394E-21
11,10,0.351378,0.000168607,6.42789,0.263,0.256,0.0258835,1.92623E-12,4.2447E-12,3.99239E-12,121402000000,1.9751E-17,14.4067,9.27339E-21
11,9,0.358643,0.000158875,6.43411,0.253,0.267,0.023336,1.98177E-12,4.25266E-12,4.1176E-12,119471000000,1.90227E-17,12.9347,8.71319E-21
10,10,0.344786,0.00016148,6.42844,0.273,0.246,0.0258455,1.9731E-12,4.36488E-12,3.99352E-12,119640000000,1.91385E-17,15.8751,8.93995E-21
10,9,0.352073,0.000152424,6.42734,0.262,0.257,0.0232989,2.02827E-12,4.37486E-12,4.12151E-12,117697000000,1.84526E-17,14.2597,8.37941E-21
9,9,0.344786,0.000145332,6.42844,0.273,0.246,0.0232609,2.08397E-12,4.52371E-12,4.12294E-12,115652000000,1.78486E-17,15.8751,8.04595E-21
9,8,0.352931,0.000136233,6.42812,0.261,0.258,0.0207143,2.15076E-12,4.53384E-12,4.28272E-12,113423000000,1.71711E-17,14.08,7.48544E-21
8,8,0.344786,0.000129184,6.42844,0.273,0.246,0.0206764,2.21818E-12,4.7223E-12,4.28462E-12,111026000000,1.65772E-17,15.8751,7.15196E-21
8,7,0.354018,0.000120032,6.42864,0.26,0.26,0.0181297,2.30105E-12,4.73233E-12,4.49012E-12,108431000000,1.59102E-17,13.8552,6.59147E-21
7,7,0.344786,0.000113036,6.42844,0.273,0.246,0.0180918,2.3847E-12,4.97746E-12,4.49232E-12,105599000000,1.53288E-17,15.8751,6.25796E-21
7,6,0.355439,0.000103816,6.43084,0.258,0.262,0.015545,2.49076E-12,4.98694E-12,4.76712E-12,102521000000,1.46748E-17,13.5661,5.69751E-21
6,6,0.344786,0.0000968878,6.42844,0.273,0.246,0.0155073,2.59783E-12,5.26281E-12,4.76943E-12,99678600000,1.4109E-17,15.8751,5.36397E-21
6,5,0.35738,0.0000875728,6.43295,0.255,0.265,0.0129603,2.7395E-12,5.29366E-12,5.10781E-12,96140300000,1.34712E-17,13.1804,4.80356E-21
5,5,0.344786,0.0000807399,6.42844,0.273,0.246,0.0129227,2.88253E-12,5.6685E-12,5.12582E-12,92641300000,1.29251E-17,15.8751,4.46997E-21
4,4,0.344786,0.0000645919,6.42844,0.273,0.246,0.0103382,3.28676E-12,6.32503E-12,5.64833E-12,83518700000,1.17869E-17,15.8751,3.57598E-21
3,3,0.344786,0.0000484439,6.42844,0.273,0.246,0.00775364,3.91707E-12,7.48551E-12,6.58888E-12,71051000000,1.07076E-17,15.8751,2.68198E-21
2,2,0.344786,0.0000322959,6.42844,0.273,0.246,0.00516909,5.06551E-12,9.93509E-12,8.59616E-12,53962900000,9.70515E-18,15.8751,1.78799E-21
